Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  65963   97.3%          C:\WINDOWS\SYSTEM32\ntdll.dll
   1550    2.3%          C:\Program Files\nodejs\node.exe
      4    0.0%          C:\WINDOWS\System32\KERNELBASE.dll

 [JavaScript]:
   ticks  total  nonlib   name
     15    0.0%    5.4%  LazyCompile: *parseChar C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:76:19
     13    0.0%    4.7%  LazyCompile: *recurse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\babel-walk\lib\index.js:73:26
     12    0.0%    4.3%  LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
     11    0.0%    4.0%  LazyCompile: *readStringContents C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:2150:28
      8    0.0%    2.9%  LazyCompile: *readEscapedChar C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:2236:25
      8    0.0%    2.9%  LazyCompile: *parseMaybeUnary C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:12765:18
      6    0.0%    2.2%  LazyCompile: *recurse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\babel-walk\lib\index.js:110:26
      5    0.0%    1.8%  LazyCompile: *visitBlock C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:420:23
      5    0.0%    1.8%  LazyCompile: *resolve node:path:158:10
      5    0.0%    1.8%  LazyCompile: *pp$9.getTokenFromCode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\acorn\dist\acorn.js:4635:35
      5    0.0%    1.8%  LazyCompile: *parseMaybeAssign C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:12507:19
      5    0.0%    1.8%  LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      5    0.0%    1.8%  LazyCompile: *advance C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1656:20
      4    0.0%    1.4%  LazyCompile: *get C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\types\lib\index.js:623:19
      4    0.0%    1.4%  LazyCompile: *buffer C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:203:19
      4    0.0%    1.4%  LazyCompile: *attribute C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1216:22
      4    0.0%    1.4%  LazyCompile: *Tokenizer C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:2490:14
      3    0.0%    1.1%  LazyCompile: *walk.includeDependencies C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-filters\lib\handle-filters.js:14:13
      3    0.0%    1.1%  LazyCompile: *visitTag C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:613:21
      3    0.0%    1.1%  LazyCompile: *skipSpace C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:2710:12
      3    0.0%    1.1%  LazyCompile: *readWord1 C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:3638:12
      3    0.0%    1.1%  LazyCompile: *parse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:28:15
      3    0.0%    1.1%  LazyCompile: *isConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\constantinople\lib\index.js:332:20
      3    0.0%    1.1%  LazyCompile: *finishNode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:4459:13
      3    0.0%    1.1%  LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
      3    0.0%    1.1%  LazyCompile: *addExtra C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:4091:11
      3    0.0%    1.1%  LazyCompile: *Parser C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\acorn\dist\acorn.js:470:31
      2    0.0%    0.7%  RegExp: ^\n[ \t]*\n
      2    0.0%    0.7%  RegExp: ^(?:each|for) +([a-zA-Z_$][\w$]*)(?: *, *([a-zA-Z_$][\w$]*))? * in *([^\n]+)
      2    0.0%    0.7%  RegExp: ^(?:block +)?prepend +([^\n]+)
      2    0.0%    0.7%  RegExp: [ \n\t]
      2    0.0%    0.7%  RegExp: (\\)?([#!]){((?:.|\n)*)$
      2    0.0%    0.7%  LazyCompile: *toNamespacedPath node:path:618:19
      2    0.0%    0.7%  LazyCompile: *toConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\constantinople\lib\index.js:9:24
      2    0.0%    0.7%  LazyCompile: *tag C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-parser\index.js:1133:16
      2    0.0%    0.7%  LazyCompile: *pp$3.parseMaybeUnary C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\acorn\dist\acorn.js:2087:34
      2    0.0%    0.7%  LazyCompile: *pluginsMap C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:16922:20
      2    0.0%    0.7%  LazyCompile: *parseLiteralAtNode C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:13529:21
      2    0.0%    0.7%  LazyCompile: *parseExprAtom C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:13124:16
